王翼 国家安全生产监督管理总局信息研究院
方胜利 中国建筑第七工程局有限公司

百世奇 义煤集团新义矿业有限公司总经理

李军 国网河南电力公司长葛市供电公司总经理
潘世英 济南热力集团有限公司党委书记、董事长

纪祥国 山东省淄博市高青县总工会主席

曹坤 山东枣建建设集团有限公司项目执行经理

郑磊 山东省沂水县总工会常务副主席

张国建 山东省滨州市总工会生产保护部科员

李晓亮 山东华泰纸业股份有限公司董事长

徐常书 山东黄金矿业(莱州)有限公司焦家金矿党委副书记、工会主席
逯怀东 国网山东省电力公司济南供电公司副总经理

纪建奕 青特集团有限公司总裁
黄磊 江西省南昌市总工会经济技术部副部长

高淑琴 江西省景德镇市安监局综合科主任
陈德鹏 国网江西电力有限公司萍乡供电分公司
郑镇 福建省总工会

尤志桂 福建省安全生产监督管理局

陈竞 福建省泉州台商投资区总工会

周金 田 福建省莆田市总工会

蔡锡英 福建环三兴港投资集团有限公司
杜锦祥 福建杜氏木业有限公司董事长兼总经理
尤计富 安徽省宿州市安全生产监督管理局

唐江娇 合肥深燃天然气有限公司

禹广兴 安徽省淮北市总工会

张学峰 安徽省亳州市总工会

芮忠芝 安徽省蚌埠市总工会

李建辉 铜陵化工集团新桥矿业有限公司
章昊 国网安徽省电力有限公司淮南供电公司

裴兵 安徽神剑科技股份有限公司
陈健锋 浙江省宁波市总工会

钱杭园 浙江农林大学

莫妙法 浙江省安全生产监督管理局

胡海峰 浙江省海盐县总工会

郑如春 浙江金丽温高速公路有限公司
谢珂 金鱼集团杭州松下家用电器有限公司
朱小林 江苏省扬州市江都区总工会

张红娟 国网江苏省电力有限公司如皋市供电分公司

胡荣华 江苏省江阴市总工会

吴志 江苏省宿迁市宿豫区总工会

马海燕 江苏省淮安 清江区总工会

李润芝 江苏省总工会

罗庆 江苏省常州市轨道交通发展有限公司
笪鸿鹄 江苏省苏中建设集团股份有限公司董事长

芮益民 红宝丽集团股份有限公司董事长
高大兴 上海市总工会

孙伟民 上海宝绿园林绿化有限公司

叶军明 上海水域环境发展有限公司

沈勇辉 上海航天设备制造总厂有限公司

徐国华 上海市安装工程集团有限公司
崔广明 上海老港废弃物处置有限公司
于兰香 黑龙江省哈尔滨市总工会副巡视员

蒋志辉 黑龙江省牡丹江市总工会副主席

喻波 大庆电业局工会主席

赵子宏 黑龙江省绥化市总工会劳动和经济工作部部长

于春雨 大庆油田有限责任公司庆新油田开发有限责任公司工会副主席
王涛 华电能源股份有限公司佳木斯热电厂厂长
张海松 吉林省吉林市总工会经费审查委员会主任

徐建辉 吉林省松原市总工会

李丽巍 白城经济开发区工会委员会主席

许普曾 吉林省辽源市总工会

葛谈友 吉林省梅河口市总工会副主席

郑永祥 公主岭市总工会劳动保护部部长
李国辉 国网吉林省电力有限公司长春供电公司总经理、党委副书记

贾宏智 国网吉林省电力有限公司吉林供电公司总经理
李学瑞 辽宁省沈阳市于洪区总工会劳动保护部部长

马玉 辽宁省营口市总工会劳动和经济技术部科员

马龙波 辽宁省抚顺县总工会副主席

李东伟 辽宁省阜新市安全生产监督管理局科长

暴勇 渤海造船厂集团有限公司工会部长

陈琨 中国石油辽河油田分公司金海采油厂工会主席
闵兴 大连机车车辆有限公司董事长
任剑平 内蒙古呼和浩特市总工会劳动保护部部长

贾玉柱 神华包头能源有限责任公司工会主席

徐洪国 内蒙古高路公司兴安分公司经理

曲艳奎 通辽市科尔沁左翼中旗宝龙山金田矿业有限公司总经理

孟庆江 内蒙古赤峰市总工会科员

张宏斌 锡林郭勒电业局乌拉盖供电分局局长
张志功 内蒙古伊泰煤制油有限责任公司董事长兼总经理

刘树国 包头供电局党委委员、“安康杯”组委会负责人
吴智勇 山西省总工会劳动保护部调研员

高原 山西省太原市总工会劳动保护部部长

白慧娟 山西省国防科技工业工会调研员

曲文彬 山西省忻州市总工会副主席

郭喜志 山西乡宁焦煤集团台头前湾煤业有限公司董事长

申国义 山西高平科兴新庄煤业有限公司矿长

程永新 晋煤集团赵庄煤业董事长、总经理

张海瑞 山西省朔州市总工会劳动保护部负责人
王玉宝 西山煤电(集团)有限责任公司党委书记、董事长
安蔚 河北省石家庄市总工会

张建萍 曹妃甸港集团股份有限公司

陈卫卫 保定钞票纸业有限公司

王锋 冀中能源股份公司东庞矿

谭丽君 万合集团股份有限公司

马涛 河北省直属机关工会工作委员会
宣国宝 唐山港集团股份有限公司

苟量 中国石油集团东方地球物理公司
王俊杰 中国石油大然气股份有限公司大港油田分公司工会经济保护部部长

毛锦来 中建二局第三建筑工程有限公司工会主席

刘雪峰 交通运输部北海航海保障中心天津海事测绘中心工会办公室主任

张立群 中国石化销售有限公司天津石油分公司工会主管、机关工会副主席

周涛 天津经济技术开发区总工会权益部部长
李建东 天津大唐国际盘山发电有限责任公司总经理、党委副书记
李咏梅 北京市朝阳区安贞街道总工会

金嗣东 中铁二十二局集团有限公司

冯丽学 北京大旺食品有限公司

王振国 北京市昌平区总工会

石秀丽 中国石化销售有限公司北京石油分公司
陈进行 大唐国际发电股份有限公司董事长

高浩 北京城建八建设发展有限责任公司副总经理
